Wall time,Step,Value
1495005654.6014369,42,1.8758938312530518
1495005654.6053393,45,1.8437328338623047
1495005654.6415086,71,1.7106854915618896
1495005654.6815906,94,1.6043498516082764
1495005654.8223686,167,1.3981847763061523
1495005654.9299052,229,1.0827887058258057
1495005654.9367495,234,1.0845115184783936
1495005654.971943,255,1.0169992446899414
1495005655.0042052,273,1.0465645790100098
1495005655.0697057,308,0.8731433153152466
1495005655.071661,310,0.997861921787262
1495005655.087301,318,1.0330498218536377
1495005655.255451,421,0.5492479205131531
1495005655.483238,474,0.7275195121765137
1495005655.5839312,536,0.7708795070648193
1495005655.655298,579,0.7060971260070801
1495005655.670938,586,0.7382131814956665
1495005655.7589242,634,0.6682274341583252
1495005655.7862978,647,0.7786747217178345
1495005655.818559,671,0.7447991967201233
1495005655.8713596,714,0.71098792552948
1495005655.881125,722,0.6407294273376465
1495005655.9417386,771,0.6550176739692688
1495005655.9583676,785,0.5943636894226074
1495005655.9788876,802,0.7009384632110596
1495005655.98574,808,0.6565769910812378
1495005656.0179927,836,0.5870375037193298
1495005656.3699343,971,0.6667581796646118
1495005656.4207797,1014,0.6171718835830688
1495005656.4823701,1066,0.6268071532249451
1495005656.5283077,1104,0.6820391416549683
1495005656.6260796,1180,0.5586642026901245
1495005656.7248092,1261,0.5553443431854248
1495005656.887092,1316,0.6240432262420654
1495005656.891003,1319,0.5731831789016724
1495005656.907622,1333,0.4888833165168762
1495005656.912525,1337,0.508720874786377
1495005656.9731226,1385,0.46369704604148865
1495005656.983889,1392,0.5395348072052002
1495005657.044489,1436,0.47673365473747253
1495005657.082616,1466,0.4911835193634033
1495005657.153981,1523,0.562238872051239
1495005657.1901524,1552,0.546154260635376
1495005657.2097192,1568,0.6274213194847107
1495005657.230245,1584,0.6044389605522156
1495005657.3661246,1691,0.45906704664230347
1495005657.4912596,1718,0.5123506784439087
1495005657.5108104,1734,0.5094884634017944
1495005657.5137546,1737,0.543738603591919
1495005657.56458,1781,0.5784263610839844
1495005657.6408336,1844,0.4604622423648834
1495005657.670162,1866,0.4289785623550415
